Weight    Value     
    81    37        
    95    27        
    17    50        
    36    43        
    88    46        
    23    38        
    16    52        
    12    48        
     9    68        
    79    3         
     9    76        
    78    47        
    77    58        
    60    43        
    39    24        
    13    30        
     9    76        
    32    54        
    33    14        
   100    71        
    87    9         
    61    56        
    28    79        
    93    95        
    39    41        
    10    87        
    14    60        
    95    91        
    83    82        
    11    38        
    84    56        
    94    62        
    54    91        
    11    47        
    56    19        
    16    65        
    11    9         
    48    20        
    55    41        
    66    79        
    60    61        
    14    59        
    29    38        
    36    68        
    68    59        
     1    63        
     6    37        
    61    77        
    17    85        
    89    36        
    70    66        
    84    70        
    12    3         
    43    98        
    87    8         
     8    72        
    58    54        
    32    45        
    80    84        
    27    61        
    25    66        
    48    33        
    87    24        
    40    44        
    52    99        
     8    91        
    59    12        
    88    38        
    89    4         
     4    32        
    71    32        
    26    50        
    28    33        
    10    83        
    73    3         
    44    87        
     5    84        
    61    90        
    86    54        
    77    33        
    68    30        
    42    88        
    64    8         
    90    7         
    76    7         
     8    65        
    95    26        
    88    63        
    91    74        
    47    35        
    43    70        
    19    42        
    10    19        
    75    65        
     7    89        
    17    24        
    24    29        
    82    38        
    81    74        
    71    58        
     3    78        
    60    77        
    51    90        
    44    55        
    74    67        
    81    8         
     2    76        
    91    84        
    17    62        
    90    27        
     3    26        
    84    72        
     2    68        
    42    81        
     9    86        
    47    34        
    48    95        
    95    37        
    37    19        
    31    77        
    33    37        
    16    13        
    61    54        
    79    35        
    94    64        
    19    33        
    72    55        
    18    49        
    45    33        
     5    84        
    69    7         
    41    9         
    31    86        
    97    39        
    43    34        
    18    49        
    95    77        
    42    55        
     3    96        
    39    76        
    91    49        
    32    25        
    80    78        
    90    72        
    99    7         
    83    71        
    33    55        
    44    77        
    30    5         
    47    40        
    94    78        
    83    92        
    60    59        
    93    90        
    16    56        
     6    88        
    86    66        
    52    19        
    67    71        
    60    28        
    85    54        
    37    13        
    10    32        
    12    72        
     4    44        
    74    100       
    56    9         
    90    94        
    51    33        
    37    96        
    18    18        
     9    87        
    46    67        
    33    97        
    11    48        
    82    63        
    72    23        
    27    50        
    99    36        
   100    30        
     9    87        
    92    13        
    29    4         
    25    16        
    88    72        
    89    15        
    42    92        
    74    47        
    19    32        
    57    7         
    62    9         
    20    24        
    85    96        
    89    50        
    31    85        
    87    18        
    59    58        
    35    89        
    86    89        
    21    75        
    30    84        
    52    24        
    52    60        
    97    17        
    55    79        
    70    68        
    58    19        
    75    44        
    74    93        
    98    58        
    64    70        
     4    35        
    98    50        
    82    36        
    70    69        
    64    79        
    88    52        
    67    86        
    58    96        
    91    61        
    79    92        
     8    30        
    28    14        
    78    27        
    86    83        
    21    84        
    57    99        
    94    59        
     6    59        
     4    31        
    59    34        
    79    21        
    35    59        
    69    97        
    16    33        
    35    60        
    82    76        
    22    94        
    49    91        
    85    5         
    34    39        
     5    31        
    51    26        
    89    77        
    62    67        
    43    20        
    79    43        
     8    36        
    57    32        
    12    13        
     4    75        
    11    70        
    42    87        
    96    37        
     6    26        
    83    75        
    46    30        
    22    100       
    12    60        
    49    79        
    87    92        
    82    54        
    16    87        
    77    53        
     4    20        
    35    70        
    52    22        
    98    73        
    23    76        
    47    84        
    98    9         
    39    18        
    11    7         
    22    15        
    69    99        
    86    17        
    86    11        
    68    79        
    12    73        
    92    60        
     2    13        
     8    55        
    86    100       
     6    65        
    22    60        
    58    19        
    46    58        
    16    15        
    92    96        
    23    59        
    99    2         
    73    13        
    28    78        
    66    95        
    14    95        
    24    65        
    86    93        
     6    68        
     1    57        
     7    45        
    25    37        
    80    32        
    54    93        
    86    52        
    25    62        
    17    76        
    10    47        
    47    82        
    64    66        
    70    11        
    97    76        
    58    12        
     7    39        
    89    30        
    54    53        
    21    55        
    80    31        
    48    60        
    94    24        
    64    99        
     3    76        
     1    30        
    97    15        
    70    51        
    14    14        
    80    3         
    48    10        
    37    1         
     5    33        
    48    28        
    10    60        
    24    39        
    98    87        
    93    88        
    76    45        
    74    61        
    56    72        
    83    60        
    69    98        
    12    94        
    94    76        
     8    66        
    64    25        
    31    43        
    99    51        
    31    79        
    69    25        
    11    99        
    24    25        
    73    83        
    92    35        
    64    63        
    78    68        
    59    38        
    52    95        
    50    87        
    36    90        
    81    60        
    29    22        
    85    12        
    80    9         
     4    28        
    17    60        
    10    96        
    86    67        
    24    38        
    47    14        
    32    91        
    46    39        
    71    94        
    13    49        
    95    68        
    65    43        
    87    10        
     1    51        
    12    28        
    30    11        
    41    72        
     1    72        
    88    4         
    18    66        
    41    18        
    31    88        
    81    50        
    12    9         
    35    79        
    51    84        
    72    58        
    76    39        
    19    15        
    56    30        
    34    49        
     7    88        
    57    27        
    63    48        
    31    35        
    65    94        
    84    11        
    13    23        
    32    67        
    19    8         
    80    75        
    56    44        
    10    83        
    86    77        
     9    84        
    86    50        
    96    18        
    43    10        
    90    80        
    74    72        
    50    24        
    80    85        
    44    14        
    39    91        
    29    93        
    42    94        
    98    20        
    43    11        
    72    64        
     6    39        
    36    74        
    39    1         
    22    99        
    70    91        
    76    26        
    25    29        
    11    53        
    64    23        
    52    63        
    93    91        
    95    73        
    71    2         
    28    79        
    12    96        
    43    57        
    55    30        
    54    90        
    94    20        
    28    52        
    23    98        
    20    47        
    48    1         
    34    22        
     9    66        
     1    41        
    48    50        
    67    7         
    98    41        
    61    62        
    61    71        
    64    99        
    93    3         
    34    21        
    44    35        
    13    83        
    10    50        
    72    73        
    92    15        
    36    61        
    80    65        
    16    33        
    10    74        
    96    93        
    92    60        
    66    79        
     5    19        
    30    6         
    59    73        
    66    30        
    95    72        
    77    34        
    20    17        
    56    45        
    42    8         
    18    40        
    73    53        
    81    55        
    45    26        
    96    27        
    31    35        
    43    7         
    34    63        
    72    51        
    86    29        
    89    39        
    49    61        
    82    79        
    61    1         
     5    70        
    51    99        
   100    74        
    50    9         
    57    47        
    84    10        
    27    12        
    79    29        
    71    15        
    30    6         
    90    72        
    88    26        
    13    63        
    43    33        
    89    14        
    62    43        
    69    44        
    85    89        
    28    89        
    73    89        
    85    30        
    52    71        
    94    87        
    25    5         
    72    43        
    13    74        
    84    93        
     7    97        
     4    3         
     7    27        
    29    30        
    36    87        
    75    41        
    86    96        
     4    100       
     4    17        
    58    95        
    76    11        
    79    64        
    96    89        
    75    18        
    77    94        
    25    32        
    73    51        
    95    45        
    12    58        
    89    73        
    84    74        
    87    35        
    68    12        
    81    21        
    77    4         
    13    27        
    87    48        
    91    84        
    52    5         
    26    4         
    96    70        
    34    19        
    72    100       
    63    9         
    87    63        
    48    79        
    52    98        
    54    51        
    51    86        
    91    83        
    92    40        
     4    5         
    84    21        
    74    54        
    68    60        
    81    30        
     7    17        
    73    29        
    25    82        
    50    34        
    79    82        
     4    22        
    31    56        
    35    16        
    69    29        
    26    1         
    88    51        
    59    83        
    83    38        
    55    64        
    41    29        
    91    42        
    56    50        
     8    70        
    76    21        
    39    72        
    74    73        
    75    10        
    91    55        
    79    43        
   100    15        
    12    26        
    58    68        
    42    48        
    54    83        
    12    17        
     8    57        
    21    26        
    31    26        
    43    82        
    16    24        
    92    84        
    99    26        
     3    43        
    15    52        
    96    28        
     9    25        
    34    39        
    67    10        
    77    23        
    87    93        
    98    50        
    77    57        
    59    87        
    31    56        
    94    13        
    62    17        
    41    1         
    37    13        
    76    32        
    61    68        
    84    64        
    49    99        
    60    65        
    64    92        
    20    24        
    53    10        
    62    16        
    14    2         
     6    58        
    90    25        
    88    3         
    65    54        
    28    52        
    80    86        
   100    49        
    16    19        
    69    84        
    62    8         
    48    95        
    34    6         
    35    35        
    73    23        
    35    43        
    38    73        
    44    56        
    84    51        
    69    92        
     3    17        
     5    62        
    24    7         
    51    100       
    83    43        
    71    6         
    17    41        
    27    61        
    87    30        
    16    57        
    99    96        
    39    96        
    63    52        
    42    8         
    66    29        
    50    69        
    67    79        
    61    59        
    69    11        
    15    48        
    13    9         
    60    7         
    49    100       
    90    10        
     1    85        
    65    77        
    56    69        
    76    76        
    45    36        
    22    57        
    89    92        
    25    48        
    15    48        
    27    71        
    58    32        
    22    61        
    68    72        
    79    88        
    64    9         
    87    85        
    59    66        
    49    61        
    26    60        
    34    43        
    84    51        
    19    29        
    35    20        
    55    40        
    53    33        
    74    43        
    12    99        
    69    20        
    79    29        
    60    4         
    50    72        
    64    48        
    70    78        
     5    18        
    85    63        
    49    79        
    75    2         
    88    60        
    59    7         
    61    43        
     6    30        
    97    52        
    28    90        
    42    77        
    92    49        
    56    19        
    44    95        
    61    6         
    40    97        
    50    67        
    65    8         
    37    72        
    38    27        
    69    34        
    69    46        
    17    20        
    93    82        
    78    38        
    48    50        
    62    44        
    17    60        
    19    79        
    35    7         
    17    29        
    65    49        
    83    28        
    62    17        
    78    54        
    24    47        
    36    77        
    77    68        
    30    49        
    27    12        
    70    64        
    10    79        
    73    95        
    56    40        
    39    55        
    61    95        
    15    64        
    72    66        
    94    5         
    35    44        
    47    73        
    39    16        
    95    17        
    19    27        
    48    65        
    16    55        
    84    6         
     7    22        
    44    47        
    32    15        
    47    67        
    84    96        
    35    97        
    63    12        
    37    59        
    76    34        
    50    65        
    53    29        
     6    87        
    38    29        
    98    53        
    89    96        
    48    19        
    26    64        
    62    25        
    77    66        
    13    84        
    31    80        
    78    2         
     8    53        
    35    26        
    17    36        
    97    31        
    95    21        
    21    23        
    15    71        
    88    43        
    69    24        
    62    95        
    13    24        
    14    57        
    64    21        
    10    57        
     5    94        
    88    8         
   100    99        
    48    98        
    79    94        
    88    27        
    33    88        
    52    76        
    70    48        
    55    2         
    56    91        
    62    28        
    28    89        
    32    97        
     8    79        
    60    28        
    28    30        
    92    90        
    87    42        
    56    5         
    88    100       
    89    66        
    17    98        
    53    85        
    57    15        
     9    23        
    23    43        
    13    75        
    54    46        
    13    50        
    27    91        
    81    19        
    12    61        
    42    98        
    32    45        
    73    40        
    82    56        
    60    28        
    94    61        
    41    79        
    32    22        
    70    26        
    77    60        
    82    9         
    25    10        
    92    9         
    38    62        
    93    12        
    72    96        
    65    76        
    25    65        
    79    14        
    96    79        
    18    35        
    16    25        
    95    44        
    65    10        
    21    77        
    16    74        
    65    46        
    59    85        
    73    5         
    33    39        
    56    29        
    57    20        
   100    86        
    14    5         
    96    58        
    35    65        
    31    1         
    89    12        
    83    95        
    95    56        
    18    21        
     8    23        
    59    78        
    25    71        
     4    35        
     9    13        
    42    64        
    55    25        
    65    88        
    91    10        
    92    81        
     7    3         
    12    1         
    59    96        
    50    65        
    37    54        
    32    22        
    79    45        
    64    23        
    27    33        
    65    22        
    18    58        
    98    46        
    34    38        
    47    33        
    89    17        
    55    92        
    53    5         
    20    81        
    17    97        
    56    67        
    23    15        
    84    47        
    42    57        
    15    79        
    80    100       
    37    2         
    50    10        
    62    46        
    89    33        
    76    24        
    59    64        
    64    69        
    14    52        
    59    56        
    33    29        
    90    2         
    78    54        
    15    9         
    21    92        
    12    93        
     8    52        
    10    52        
    64    5         
    89    28        
    30    46        
    42    37        
    22    21        
    83    41        
     2    74        
    75    19        
    35    25        
    45    64        
    11    46        
    48    46        
    13    48        
    43    56        
    16    96        
    96    7         
    17    36        
    88    14        
     2    10        
    54    46        
    29    24        
    33    3         
    23    23        
    44    49        
    31    36        
   100    100       
    58    79        
    21    55        
    76    53        
    51    88        
    82    41        
    31    11        
    80    81        
    64    32        
    60    20        
    26    25        
    75    58        
    51    68        
    34    43        
    45    27        
    85    84        
    92    96        
    31    33        
    69    96        
    13    22        
    40    82        
    91    37        
    67    54        
    91    54        
    66    68        
    28    59        
    39    27        
    38    40        
    24    100       
    17    18        
    87    35        
    65    92        
    31    18        
    71    18        
    72    26        
   100    61        
    28    64        
    34    5         
    35    80        
    21    34        
    55    38        
    60    8         
    90    74        
     1    6         
    80    89        
    60    56        
    71    94        
    18    68        
    51    91        
    79    68        
    66    34        
     5    7         
    52    86        
    95    28        
    94    36        
    43    4         
    59    85        
    48    55        
   100    100       
    11    52        
    29    18        
    94    34        
    31    50        
    52    32        
     5    12        
    10    59        
    21    41        
    56    64        
    11    61        
    71    97        
    74    27        
     1    14        
    30    73        
    48    5         
    77    8         
    70    74        
    10    57        
    24    50        
    29    9         
     5    17        
    71    57        
    96    70        
    54    26        
    65    86        
    44    75        
    60    15        
    63    67        
    58    6         
    53    9         
    89    75        
    19    68        
     5    21        
    90    8         
     7    7         
    44    93        
     1    2         
    46    55        
    54    9         
    54    4         
    82    42        
    93    65        
    65    73        
    32    60        
    79    43        
    67    53        
    38    42        
    25    61        
     6    60        
    55    35        
    27    8         
    85    91        
    35    21        
    80    58        
    38    23        
    66    25        
    94    75        
